青山龍星,口を割らない女を尋問する方法が気持ちよすぎた。
青山龍星,この世界では、
青山龍星,人間と魔族が譲らない戦いをしていた。
青山龍星,そんな中、
青山龍星,エリートの彼女は尋問官として暗躍していた。
青山龍星,冷徹な彼女は情けなく、
青山龍星,徹底的に情報を吐かせる。
青山龍星,そろそろ引き出せたか。
白上虎太郎,うわ、
白上虎太郎,すげえ光景だな。
白上虎太郎,敵ながら同情するぜ。
もち子さん,これが仕事ですから。
青山龍星,業務を終わらせた彼女は自室へと戻り、
もち子さん,解除。
青山龍星,その瞬間、
青山龍星,魔族の姿に変身した彼女は擬態能力を持つ魔族で、
青山龍星,スパイとして人間に姿を変えていた。
青山龍星,ある日、
青山龍星,尋問部屋に向かっていると上官に声をかけられる。
白上虎太郎,今回の相手は手強いようだ。
白上虎太郎,心を殺してかかれよ。
もち子さん,承知いたしました。
青山龍星,彼女が尋問部屋の扉を開けるも、
青山龍星,そこには誰もおらず。
白上虎太郎,お前が今日の尋問対象だ、
青山龍星,と体を拘束されてしまう。
青山龍星,どうやら真実の鏡により正体が暴かれてしまい、
青山龍星,尋問をされる側になってしまった。
青山龍星,イッても止まらない尋問に、
青山龍星,彼女は耐えることができるのか。
青山龍星,この続きは画面を長押しして説明をタップでチェックして欲しい。
